Tournament_End_Date,Tournament_Name,Game_Genre,Host_Region,Total_Prize_Pool_USD,First_Place_Prize_USD,Participating_Teams
2023-07-30,Riyadh Masters (Gamers8),MOBA,Middle East,15000000,5000000,20
2023-12-30,Honor of Kings Int. Championship,MOBA,Asia,10000000,3500000,16
2023-10-15,FNCS Global Championship,Battle Royale,Europe,4000000,1000000,100
2023-10-29,The International 2023,MOBA,North America,3380000,1520000,20
2023-12-10,PUBG Mobile Global Championship,Battle Royale,Europe,3000000,1200000,48
2023-02-19,Six Invitational 2023,FPS,North America,3000000,1000000,20
2023-06-18,Call of Duty League Championship,FPS,North America,2380000,1000000,8
2023-08-26,Valorant Champions,FPS,North America,2250000,1000000,16
2023-11-19,League of Legends World Championship,MOBA,Asia,2225000,445000,22
2023-08-13,Rocket League World Championship,Sports Sim,Europe,2100000,600000,24
2023-09-10,ALGS Championship (Apex Legends),Battle Royale,Europe,2000000,600000,40
2023-10-01,Overwatch League Playoffs,FPS,North America,1850000,1000000,8
2023-05-21,CS:GO Paris Major,FPS,Europe,1250000,500000,24
2023-08-13,Gamers8 Street Fighter 6,Fighting,Middle East,1000000,400000,32
2023-08-06,IEM Cologne,FPS,Europe,1000000,400000,24
2023-02-12,IEM Katowice,FPS,Europe,1000000,400000,24
2023-11-26,Free Fire World Series,Battle Royale,Asia,1000000,300000,18
2023-06-25,DreamLeague Season 20,MOBA,Online,1000000,300000,16
2023-12-17,M5 World Championship (Mobile Legends),MOBA,Asia,900000,300000,16
2023-08-20,Gamers8 Tekken 7,Fighting,Middle East,1000000,500000,16
2023-03-04,VCT LOCK//IN São Paulo,FPS,South America,500000,100000,32
2023-07-09,Bali Major (Dota 2),MOBA,Asia,500000,200000,18
2023-04-23,PUBG Global Series 1,Battle Royale,Asia,500000,80000,24
