Year,Month,Festival_Name,Country,Genre,Daily_Capacity,Total_Footfall,Ticket_Price_EUR
2023,June,Glastonbury,United Kingdom,Multi-Genre,210000,210000,390
2023,July,Tomorrowland,Belgium,EDM,70000,400000,355
2023,August,Sziget Festival,Hungary,Multi-Genre,95000,420000,340
2023,June,Primavera Sound,Spain,Indie/Alternative,85000,253000,325
2023,June,Roskilde,Denmark,Rock/Pop,130000,130000,310
2023,June,Hellfest,France,Metal/Hard Rock,60000,240000,339
2023,June,Rock am Ring,Germany,Rock,75000,150000,299
2023,August,Creamfields,United Kingdom,EDM,70000,280000,280
2023,July,Mad Cool,Spain,Rock/Pop,70000,210000,195
2023,July,Exit Festival,Serbia,Multi-Genre,55000,200000,140
2023,August,Reading Festival,United Kingdom,Rock/Indie,105000,315000,300
2023,August,Leeds Festival,United Kingdom,Rock/Indie,90000,270000,300
2023,August,Wacken Open Air,Germany,Metal,85000,85000,299
2023,July,NOS Alive,Portugal,Rock/Pop,55000,165000,180
2023,June,Open'er Festival,Poland,Multi-Genre,35000,110000,190
2023,July,Ultra Europe,Croatia,EDM,40000,120000,190
2023,August,Flow Festival,Finland,Indie/Urban,30000,90000,225
2023,July,Bilbao BBK Live,Spain,Rock/Pop,40000,120000,175
2023,September,Lollapalooza Berlin,Germany,Multi-Genre,60000,120000,180
2023,July,Super Bock Super Rock,Portugal,Rock/Alternative,30000,90000,130
